claim_id,customer_id,contract_id,claim_type,description,open_date,resolution_date,status,priority,assigned_to,compensation_amount
CLM00001,CUST00041,CON00129,billing_error,Customer claim regarding delay issue,2023-05-20,2023-06-30,open,high,AGT130,73.89
CLM00002,CUST00064,CON00172,price_complaint,Customer claim regarding service interruption,2025-04-06,,closed,high,AGT148,0
CLM00003,CUST00185,CON00132,price_complaint,Customer claim regarding meter malfunction,2025-09-27,2025-10-12,closed,medium,AGT148,0
CLM00004,CUST00197,CON00296,meter_malfunction,Customer claim regarding service interruption,2025-02-03,,closed,urgent,AGT137,0
CLM00005,CUST00027,CON00242,service_interruption,Customer claim regarding quality issue,2024-08-30,2024-09-05,closed,medium,AGT147,0
CLM00006,CUST00058,CON00205,contract_dispute,Customer claim regarding delay issue,2023-07-10,2023-07-24,escalated,urgent,AGT115,0
CLM00007,CUST00007,CON00283,service_interruption,Customer claim regarding contract dispute,2022-07-27,2022-08-22,escalated,medium,AGT139,0
CLM00008,CUST00195,CON00091,price_complaint,Customer claim regarding meter malfunction,2024-04-30,2024-05-07,escalated,low,AGT106,0
CLM00009,CUST00132,CON00204,quality_issue,Customer claim regarding estimated reading,2023-02-07,,open,urgent,AGT113,0
CLM00010,CUST00098,CON00018,service_interruption,Customer claim regarding billing error,2024-08-23,2024-10-07,resolved,urgent,AGT130,180.77
CLM00011,CUST00005,CON00223,contract_dispute,Customer claim regarding meter malfunction,2022-10-14,,open,high,AGT125,118.43
CLM00012,CUST00077,CON00196,price_complaint,Customer claim regarding contract dispute,2024-03-23,2024-04-04,escalated,medium,AGT124,59.31
CLM00013,CUST00193,CON00099,estimated_reading,Customer claim regarding quality issue,2023-02-25,,escalated,high,AGT100,0
CLM00014,CUST00147,CON00186,estimated_reading,Customer claim regarding estimated reading,2024-11-01,,closed,urgent,AGT145,0
CLM00015,CUST00118,CON00021,quality_issue,Customer claim regarding billing error,2025-06-24,2025-07-21,escalated,medium,AGT113,0
CLM00016,CUST00154,CON00057,delay_issue,Customer claim regarding estimated reading,2022-03-09,,escalated,low,AGT107,0
CLM00017,CUST00184,CON00253,contract_dispute,Customer claim regarding billing error,2025-03-08,2025-04-16,open,medium,AGT114,0
CLM00018,CUST00070,CON00157,delay_issue,Customer claim regarding quality issue,2024-09-02,2024-10-15,in_progress,high,AGT134,56.29
CLM00019,CUST00145,CON00184,estimated_reading,Customer claim regarding billing error,2025-11-16,2025-12-03,closed,urgent,AGT138,0
CLM00020,CUST00019,CON00032,estimated_reading,Customer claim regarding delay issue,2025-01-19,,resolved,low,AGT149,0
CLM00021,CUST00080,CON00077,delay_issue,Customer claim regarding delay issue,2022-03-21,2022-03-31,closed,low,AGT147,175.23
CLM00022,CUST00155,CON00054,service_interruption,Customer claim regarding estimated reading,2023-05-20,2023-06-08,in_progress,high,AGT132,186.91
CLM00023,CUST00078,CON00007,meter_malfunction,Customer claim regarding price complaint,2022-11-16,,closed,low,AGT144,0
CLM00024,CUST00172,CON00212,estimated_reading,Customer claim regarding meter malfunction,2024-09-21,2024-10-29,closed,low,AGT105,0
CLM00025,CUST00124,CON00051,quality_issue,Customer claim regarding estimated reading,2025-12-08,,in_progress,low,AGT137,0
CLM00026,CUST00005,CON00043,billing_error,Customer claim regarding service interruption,2023-09-14,2023-10-14,escalated,low,AGT118,0
CLM00027,CUST00034,CON00224,price_complaint,Customer claim regarding service interruption,2025-07-18,2025-08-07,open,medium,AGT127,0
CLM00028,CUST00131,CON00122,contract_dispute,Customer claim regarding delay issue,2024-10-02,,open,medium,AGT135,15.94
CLM00029,CUST00164,CON00121,estimated_reading,Customer claim regarding delay issue,2023-09-10,,escalated,high,AGT110,0
CLM00030,CUST00039,CON00061,billing_error,Customer claim regarding estimated reading,2023-12-15,2024-01-03,open,high,AGT113,0
CLM00031,CUST00106,CON00244,delay_issue,Customer claim regarding estimated reading,2025-09-17,2025-09-29,resolved,high,AGT121,0
CLM00032,CUST00083,CON00006,contract_dispute,Customer claim regarding estimated reading,2025-09-05,,resolved,high,AGT131,13.0
CLM00033,CUST00182,CON00275,contract_dispute,Customer claim regarding price complaint,2025-04-10,2025-05-15,escalated,high,AGT132,0
